Facility_ID,Inspection_Num,Inspection_Date,Inspection_Type,Location_Type,Worksheet_Type,License_Number,Status
001t000000L0T9TAAV,INSP-0165865,1/9/2026,Compliance (Annual),Retail Site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0165863,1/9/2026,Compliance (Annual),Retail Site,Establishment,00000015ESEM68131310,Enforcement
001t000000L0T9TAAV,INSP-0157106,8/7/2025,Complaint,Retail Site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0133839,6/11/2025,Compliance (Annual),Cultivation Off-site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0052871,2/10/2025,Compliance (Annual),Retail Site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0052870,2/10/2025,Compliance (Annual),Retail Site,Establishment,00000015ESEM68131310,Complete
001t000000L0T9TAAV,INSP-0051067,12/10/2024,Complaint,Retail Site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0050716,11/27/2024,Complaint,Retail Site,Establishment,00000015ESEM68131310,Complete
001t000000L0T9TAAV,INSP-0050717,11/27/2024,Complaint,Retail Site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0050347,11/14/2024,Complaint,Cultivation Off-site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0045783,7/10/2024,Compliance (Annual),Cultivation Off-site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0042091,3/26/2024,Compliance (Annual),Retail Site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0042090,3/26/2024,Compliance (Annual),Retail Site,Establishment,00000015ESEM68131310,Complete
001t000000L0T9TAAV,INSP-0035880,12/20/2023,Modification,Cultivation Off-site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0031542,8/30/2023,Complaint,Cultivation Off-site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0030493,8/3/2023,Compliance (Annual),Cultivation Off-site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0027422,5/16/2023,Compliance (Annual),Retail Site,Dispensary,00000019DCGM00234427,Complete
001t000000L0T9TAAV,INSP-0027421,5/16/2023,Compliance (Annual),Retail Site,Establishment,00000015ESEM68131310,Complete
